Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Parallelism Type,Latency,Throughput
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,Tensor Parallelism,22.885116481781004,1431.8476388829756
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,Tensor Parallelism,45.04236905574798,1454.9856362769792
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,Tensor Parallelism,78.1146157026291,1677.9446307330234
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,1,Tensor Parallelism,26.992919754981994,151.74349559735992
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,Tensor Parallelism,86.99101371765137,753.365171863747
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,32,Tensor Parallelism,150.40837161540986,871.4408552680004
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,64,Tensor Parallelism,301.24236011505127,870.2096209174608
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,1,Tensor Parallelism,0.9932441473007202,257.74126200060255
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,Tensor Parallelism,1.221044135093689,3354.5061003759047
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,32,Tensor Parallelism,1.4457384109497071,5666.308606007547
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,64,Tensor Parallelism,1.793226671218872,9136.60289742604
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,1,Tensor Parallelism,2.0083416938781737,254.93669805326363
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,Tensor Parallelism,2.610589551925659,3137.988503002053
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,32,Tensor Parallelism,3.1910539865493774,5134.353749281665
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,64,Tensor Parallelism,4.195639300346374,7810.013600858113
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,1,Tensor Parallelism,4.1251893758773805,248.2310281287891
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,Tensor Parallelism,5.850812768936157,2800.2947021288933
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,32,Tensor Parallelism,7.769503951072693,4217.515069990523
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,64,Tensor Parallelism,11.156660962104798,5874.158964102471
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,Tensor Parallelism,8.559530758857727,239.265452475961
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,Tensor Parallelism,14.51084258556366,2258.173486948288
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,Tensor Parallelism,21.103439688682556,3105.4653159288496
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,Tensor Parallelism,42.26376416683197,3101.2855239918154
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,1,Tensor Parallelism,18.566652941703797,220.61057600746665
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,Tensor Parallelism,39.84955592155457,1644.5854535746953
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,32,Tensor Parallelism,81.99455778598785,1598.5451173736199
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,64,Tensor Parallelism,147.83400707244874,1773.2320539179566
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,1,Tensor Parallelism,0.7403770923614502,345.76974712100014
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,Tensor Parallelism,0.9208605766296387,4448.013199773859
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,32,Tensor Parallelism,0.9982745409011841,8206.159392389933
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,64,Tensor Parallelism,1.2183598279953003,13447.58717706441
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,1,Tensor Parallelism,1.5033786058425904,340.56624060646527
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,Tensor Parallelism,1.9230066061019897,4259.995766008057
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,32,Tensor Parallelism,2.143556761741638,7643.371191480843
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,64,Tensor Parallelism,2.7546445608139036,11895.545605462134
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,1,Tensor Parallelism,3.0960479021072387,330.7442366453836
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,Tensor Parallelism,4.168424439430237,3930.5018570132593
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,32,Tensor Parallelism,5.0154190301895145,6533.4521009627015
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,64,Tensor Parallelism,6.7205458879470825,9751.588798394352
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,Tensor Parallelism,6.499768352508545,315.088152212315
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,Tensor Parallelism,9.663064360618591,3391.056788728904
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,Tensor Parallelism,12.753532934188843,5138.654546797409
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,Tensor Parallelism,19.14927735328674,6844.74915589977
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,1,Tensor Parallelism,14.280403017997742,286.8266389147259
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,Tensor Parallelism,25.656141352653503,2554.3981497132613
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,32,Tensor Parallelism,35.9053160905838,3650.4900742086415
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,64,Tensor Parallelism,80.40339257717133,3260.3599375286767
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,128,1,Tensor Parallelism,4.240084111690521,60.376160768644
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,128,16,Tensor Parallelism,4.981491684913635,822.2436689806525
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,128,32,Tensor Parallelism,5.44360226392746,1504.8858463236845
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,128,64,Tensor Parallelism,6.4862223863601685,2525.969512617051
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,256,1,Tensor Parallelism,8.537732601165771,59.969083586676135
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,256,16,Tensor Parallelism,10.016632437705994,817.8397331584755
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,256,32,Tensor Parallelism,10.930146992206573,1498.9734366502244
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,256,64,Tensor Parallelism,21.8426673412323,1500.1830814931654
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,512,1,Tensor Parallelism,17.297742009162903,59.19847801277011
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,512,16,Tensor Parallelism,20.388428270816803,803.5930863514092
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,512,32,Tensor Parallelism,39.8722842335701,821.8239970413155
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,512,64,Tensor Parallelism,80.91447502374649,809.9416078614702
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,1024,1,Tensor Parallelism,36.927737307548526,55.4596666170868
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,1024,16,Tensor Parallelism,46.631970858573915,702.6938685345134
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,1024,32,Tensor Parallelism,114.85642259120941,570.5906428345943
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,1024,64,Tensor Parallelism,190.39310443401337,688.4282936067523
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,2048,1,Tensor Parallelism,75.52925345897674,54.23064325963076
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,2048,16,Tensor Parallelism,178.76860904693604,366.5967999045817
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,2048,32,Tensor Parallelism,348.35320339202883,376.26179040040154
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-70b-hf,2048,64,Tensor Parallelism,722.3382705450058,362.91030212508576
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,1,Tensor Parallelism,1.7611476182937622,145.3597627710608
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,Tensor Parallelism,2.0410414934158325,2006.8185841460008
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,32,Tensor Parallelism,2.2514976859092712,3638.466986339205
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,64,Tensor Parallelism,2.7308430671691895,5999.612426276756
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,1,Tensor Parallelism,3.581385850906372,142.96141809752885
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,Tensor Parallelism,4.2348281145095825,1934.4350652467226
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,32,Tensor Parallelism,4.732868075370789,3461.7487196104494
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,64,Tensor Parallelism,5.887991905212402,5565.225042342841
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,1,Tensor Parallelism,7.274572730064392,140.7642810096609
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,Tensor Parallelism,9.010318458080292,1818.3597035138223
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,32,Tensor Parallelism,10.36736398935318,3160.687715185005
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,64,Tensor Parallelism,13.445159494876862,4874.319268951165
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,Tensor Parallelism,14.67550723552704,139.55224627889672
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,Tensor Parallelism,20.15099263191223,1626.123367645263
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,Tensor Parallelism,25.037958669662476,2617.4657792453118
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,Tensor Parallelism,35.82631618976593,3658.539697627124
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,1,Tensor Parallelism,30.933376669883728,132.413607596477
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,Tensor Parallelism,49.25287228822708,1330.6026015393436
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,32,Tensor Parallelism,63.92402684688568,2050.434030289594
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,64,Tensor Parallelism,161.99349409341812,1618.2378278033023
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,1,Tensor Parallelism,1.1323227167129517,226.08395665075844
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,Tensor Parallelism,1.342610478401184,3050.7731511805455
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,32,Tensor Parallelism,1.5004681587219237,5459.6293512671555
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,64,Tensor Parallelism,1.8566107273101806,8824.682395181893
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,1,Tensor Parallelism,2.2917508840560914,223.409971634364
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,Tensor Parallelism,2.762704372406006,2965.210495130062
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,32,Tensor Parallelism,3.141621398925781,5215.141457083977
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,64,Tensor Parallelism,3.9769100904464723,8239.562689314222
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,1,Tensor Parallelism,4.6650467872619625,219.50476526753386
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,Tensor Parallelism,5.822598004341126,2813.8641870492625
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,32,Tensor Parallelism,6.868607807159424,4770.690206805025
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,64,Tensor Parallelism,8.851548075675964,7403.902621293194
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,Tensor Parallelism,9.668155598640443,211.82944141776062
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,Tensor Parallelism,12.791254949569701,2561.7502058390537
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,Tensor Parallelism,15.95526614189148,4107.4839753334745
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,Tensor Parallelism,21.365115809440614,6134.860263293455
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,1,Tensor Parallelism,20.58527283668518,198.97720241533477
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,Tensor Parallelism,30.147324562072754,2173.857911174262
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,32,Tensor Parallelism,40.8567168712616,3208.089392326953
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,64,Tensor Parallelism,58.233250689506534,4501.620584392992
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,1,Tensor Parallelism,0.7806822299957276,327.9183131930658
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,Tensor Parallelism,1.0285735607147217,3982.213967422831
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,32,Tensor Parallelism,1.0624102830886841,7710.768740099043
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,64,Tensor Parallelism,1.2711575031280518,12889.040075429217
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,1,Tensor Parallelism,1.577147078514099,324.636812238449
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,Tensor Parallelism,2.100892162322998,3899.2958072355045
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,32,Tensor Parallelism,2.2191495656967164,7383.008452094186
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,64,Tensor Parallelism,2.712442970275879,12080.62265606536
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,1,Tensor Parallelism,3.2513537645339965,314.9457346567041
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,Tensor Parallelism,4.383740997314453,3737.4470823064344
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,32,Tensor Parallelism,4.811525273323059,6810.314430161753
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,64,Tensor Parallelism,5.995825576782226,10930.271263022822
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,Tensor Parallelism,6.796700859069825,301.3226626366903
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,Tensor Parallelism,9.505168509483337,3447.3875941607203
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,Tensor Parallelism,10.653644013404847,6151.510217305923
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,Tensor Parallelism,14.160681653022767,9256.051594947134
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,1,Tensor Parallelism,14.865915417671204,275.52961825217034
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,Tensor Parallelism,21.727193093299867,3016.3123105031773
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,32,Tensor Parallelism,25.83556969165802,5073.3156483219145
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,64,Tensor Parallelism,37.389847898483275,7011.101000243275
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,128,1,Tensor Parallelism,4.298348784446716,59.55775411393292
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,128,16,Tensor Parallelism,5.087415874004364,805.1238784958995
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,256,1,Tensor Parallelism,8.65412825345993,59.16251585424584
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,256,16,Tensor Parallelism,10.208289921283722,802.4850453081403
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,512,1,Tensor Parallelism,17.559316873550415,58.31661945473804
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,512,16,Tensor Parallelism,20.700579822063446,791.4754147387372
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,1024,1,Tensor Parallelism,36.95224487781525,55.422884503277984
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,1024,16,Tensor Parallelism,84.97920141220092,385.6002345921707
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,1024,32,Tensor Parallelism,169.71768877506256,386.14713924639256
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,1024,64,Tensor Parallelism,414.93171803951265,315.8881191808972
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,2048,1,Tensor Parallelism,76.44423637390136,53.581541189917694
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,2048,16,Tensor Parallelism,319.7689126491547,204.94800278445155
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,2048,32,Tensor Parallelism,658.4513375759125,199.0610277785164
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-70B,2048,64,Tensor Parallelism,1731.3787945985794,151.40765314777818
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,1,Tensor Parallelism,1.672762656211853,153.04024097461559
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,16,Tensor Parallelism,1.9248948097229004,2127.908485861439
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,32,Tensor Parallelism,2.1499767303466797,3810.2737970931694
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,64,Tensor Parallelism,2.570858895778656,6372.967426140146
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,1,Tensor Parallelism,3.3738913536071777,151.75355289748674
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,16,Tensor Parallelism,3.9925740361213684,2051.8091651866303
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,32,Tensor Parallelism,4.470934748649597,3664.558066956497
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,64,Tensor Parallelism,5.566715180873871,5886.415765007046
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,1,Tensor Parallelism,6.822290897369385,150.09620894278274
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,16,Tensor Parallelism,8.535608291625977,1919.488270809456
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,32,Tensor Parallelism,9.806951940059662,3341.303210240944
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,64,Tensor Parallelism,12.786131143569946,5125.553559878634
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,Tensor Parallelism,13.974966645240784,146.54775585439072
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,Tensor Parallelism,19.286153495311737,1699.0427877682068
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,Tensor Parallelism,23.233641982078552,2820.7372761683982
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,64,Tensor Parallelism,32.429650008678436,4041.733412630851
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,1,Tensor Parallelism,29.18047034740448,140.367853952852
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,16,Tensor Parallelism,47.42074120044708,1382.0112959217543
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,32,Tensor Parallelism,61.859402537345886,2118.869478586848
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,64,Tensor Parallelism,158.58702480793,1652.9977803511435
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,1,Tensor Parallelism,1.0737022876739502,238.4273582527182
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,16,Tensor Parallelism,1.2696180105209351,3226.1672141208646
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,32,Tensor Parallelism,1.414866042137146,5789.947426843348
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,64,Tensor Parallelism,1.7330096006393432,9454.073418840613
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,1,Tensor Parallelism,2.171929693222046,235.73507079801038
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,16,Tensor Parallelism,2.614258909225464,3133.584042151003
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,32,Tensor Parallelism,2.9809475183486938,5496.238997550676
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,64,Tensor Parallelism,3.713571238517761,8823.85119211529
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,1,Tensor Parallelism,4.4427323818206785,230.4887875286231
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,16,Tensor Parallelism,5.52270736694336,2966.6608986142996
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,32,Tensor Parallelism,6.543541049957275,5007.686167142476
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,64,Tensor Parallelism,8.386817860603333,7814.167553089731
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,Tensor Parallelism,9.19076943397522,222.83226825702152
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,Tensor Parallelism,12.21534481048584,2682.527632938486
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,Tensor Parallelism,15.275709629058838,4290.209855477449
