Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,14.8609221,137.8110986,6171144.637,419.7923243,62129264,2.23E-05,0.328284,2.22E-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,2.041041493,2006.818584,842297.679,420.9349048,8839633,0.002382553,4.767527,0.000227025
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,4.234828115,1934.435065,1743941.134,425.2180238,17859157,0.001109232,4.549278,0.000108316
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,9.010318458,1818.359704,3872875.359,435.0702111,39156319,0.000469512,4.179463,4.64E-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,20.19936234,1622.229427,9351750.109,465.1681238,93963961,0.000173468,3.487405,1.73E-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,49.25287229,1330.602602,24870378.16,506.5388659,249217122,5.35E-05,2.626852,5.34E-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,24.2999357,2696.961869,12235081.05,505.48607,122833115,0.000220429,5.335383,2.20E-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,33.70355052,3888.967126,18572567.46,552.6420742,186240379,0.000209393,7.037045,2.09E-05
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,7.728985405,264.9765645,,651.8960972,,,0.406470549,
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,10.15716341,3226.097552,,694.428734,,,4.645685574,
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,12.49275265,5245.921523,,725.0229189,,,7.235525094,
Nvidia H100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,17.48319275,7497.028823,,760.3198803,,,9.860361432,
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,16,1.135202531,3608.166727,802466.9584,421.8679,8437358,0.004496343,8.552835,0.000427642
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,16,2.428581522,3373.162452,1837700.622,437.2971395,18803777,0.001835534,7.713662,0.000179387
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,16,5.446441129,3008.2029,4518898.569,461.1406566,45652925,0.000665694,6.523396,6.59E-05
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,7.838529323,261.2735011,5982206.758,433.6794964,60281450,4.37E-05,0.602458,4.33E-06
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,13.16871039,2488.322625,12298312.63,497.7751573,123448239,0.00020233,4.998889,2.02E-05
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,18.98840657,3451.369116,23669362.99,518.8975055,237136160,0.000145816,6.65135,1.46E-05
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,32.64119967,4015.538685,46197232.18,528.4772891,462417628,8.69E-05,7.598318,8.68E-06
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,16,35.29766169,1856.666897,44601767.32,517.3489606,446472153,4.16E-05,3.58881,4.16E-06
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,16,1.165091904,3515.602491,881741.4049,419.2433182,9223353,0.003987113,8.38559,0.000381163
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,256,16,2.39953766,3413.991011,1798005.661,418.2372045,18402437,0.001898765,8.16281,0.000185518
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,512,16,5.043239997,3248.705199,3886499.558,431.7932637,39293187,0.000835895,7.523751,8.27E-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,8.097759872,252.9094505,6528326.276,441.0837114,65721473,3.87E-05,0.573382,3.85E-06
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,11.02468773,2972.23838,8825496.209,450.2401371,88697307,0.000336779,6.601451,3.35E-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,13.05667387,5019.348775,12218878.75,469.9332989,122652591,0.000410786,10.680981,4.09E-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,18.80866742,6968.702094,17838780.74,501.1443137,178908520,0.000390649,13.905579,3.90E-05
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,2048,16,25.52988607,2567.030649,22021817.11,482.8087177,220643584,0.000116568,5.316869,1.16E-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,128,16,1.124162727,3643.600612,848317.1534,423.8225238,8900273,0.004295092,8.596996,0.000409381
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,256,16,2.34795506,3488.993525,1783226.246,424.5727674,18256629,0.001956562,8.217657,0.000191108
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,512,16,5.042441164,3249.219865,3866287.974,434.4667889,39102011,0.000840398,7.478638,8.31E-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,16,11.2926889,2901.70041,9221595.16,465.7262864,92679531,0.000314664,6.230485,3.13E-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,32,21.96782172,2983.272571,13150923.87,485.3153603,132005778,0.000226849,6.14708,2.26E-05
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,64,31.23852638,4195.844529,20105068.94,519.2784613,201480043,0.000208696,8.080144,2.08E-05
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,128,1,0.962963029,265.8461356,,722.791,,,0.367805,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,256,1,1.963774838,260.7223548,,719.558,,,0.362337,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,512,1,3.955518611,258.8788224,,719.229125,,,0.359939,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,1024,1,8.038420353,254.776425,,721.6677879,,,0.353038,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,2048,1,16.56197996,247.3134257,,721.8317463,,,0.342619,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,128,16,1.18537923,3455.434258,,783.9496,,,4.407725,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,256,16,2.474482076,3310.591772,,776.8521,,,4.261547,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,512,16,5.369891759,3051.085708,,765.0929091,,,3.987863,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,128,32,1.399955706,5851.613708,,827.941,,,7.06767,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,256,32,2.995298421,5469.905731,,816.7708333,,,6.69699,
Habana Gaudi2,1,Deepspeed,meta-llama/Meta-Llama-3-8B,512,32,6.84419827,4787.704667,,798.9778929,,,5.992287,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,128,1,0.829202648,308.7303214,,769.192,,,0.40137,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,256,1,1.601708005,319.6587633,,766.2872857,,,0.417153,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,512,1,3.18430327,321.5774106,,765.3973077,,,0.420144,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,1024,1,6.485355137,315.788412,,775.6172308,,,0.407145,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,2048,1,13.24990606,309.1342671,,775.3173019,,,0.39872,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,128,16,1.017841059,4024.20394,,791.0082,,,5.087436,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,256,16,2.118207598,3867.420742,,845.3481111,,,4.574945,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,512,16,4.412352034,3713.212335,,814.4658889,,,4.559077,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,128,32,1.278850762,6405.751354,,886.2193333,,,7.228178,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,256,32,2.63959673,6207.00875,,865.1591818,,,7.174412,
Habana Gaudi2,2,Deepspeed,meta-llama/Meta-Llama-3-8B,512,32,5.646030019,5803.724013,,859.8227391,,,6.749908,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,128,1,0.656088689,390.1911499,,858.3126667,,,0.454603,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,256,1,1.470096224,348.2765221,,807.178,,,0.431474,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,512,1,2.495347674,410.3636582,,846.2257,,,0.484934,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,1024,1,4.975753599,411.5959441,,849.47645,,,0.484529,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,2048,1,10.99293379,372.6029902,,839.7793864,,,0.443692,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,128,16,0.87412693,4685.81834,,980.48225,,,4.779096,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,256,16,1.582171531,5177.693973,,967.3518571,,,5.352441,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,512,16,3.099674436,5285.7164,,1003.329692,,,5.268175,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,128,32,0.933761482,8773.118358,,1142.2035,,,7.680872,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,256,32,1.747570414,9375.301773,,1132.569,,,8.277908,
Habana Gaudi2,4,Deepspeed,meta-llama/Meta-Llama-3-8B,512,32,3.696466244,8864.682601,,1092.920933,,,8.111001,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,128,1,4.726529349,54.16236335,,872.2342632,,,0.0621,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,256,1,9.492064021,53.93979633,,876.6995789,,,0.0615,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,512,1,19.10049272,53.61118244,,877.168039,,,0.0611,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,1024,1,38.3794851,53.36184148,,875.3776364,,,0.061,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,2048,1,77.70020415,52.71543421,,874.610074,,,0.0603,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,128,16,6.076977987,674.0192261,,948.20848,,,0.710834,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,256,16,12.22643938,670.0233607,,964.9560408,,,0.694356,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-70b-hf,128,32,7.430395678,1102.498488,,1023.463867,,,1.077223,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,128,1,2.929431176,87.38897916,,1112.933083,,,0.0785,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,256,1,5.743822911,89.13923844,,1096.319565,,,0.0813,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,512,1,11.6446383,87.93746733,,1114.899723,,,0.0789,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,1024,1,23.24802188,88.09351652,,1110.944419,,,0.0793,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,2048,1,47.23444664,86.71637525,,1107.870243,,,0.0783,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,128,16,3.584723104,1142.626608,,1266.9234,,,0.901891,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,256,16,7.242951198,1131.030677,,1260.18969,,,0.897508,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-70b-hf,128,32,4.221089423,1940.731214,,1386.565176,,,1.399668,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,0.882674025,290.0277937,,712.99175,,,0.406776,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,1.779717334,287.6861343,,715.334375,,,0.40217,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,3.63575952,281.6467905,,716.4949333,,,0.39309,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,7.535982892,271.762825,,720.0389355,,,0.377428,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,2048,1,16.23157643,252.3476396,,720.9038615,,,0.350043,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,1.153703714,3550.304944,,781.2294,,,4.54451,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,2.601071144,3149.471716,,769.6727273,,,4.091962,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,6.439969437,2544.111453,,753.6735385,,,3.375615,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,17.80002952,1840.895823,,745.0716806,,,2.470763,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,2048,16,55.84122112,1173.613304,,732.0094107,,,1.603276,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,32,1.465030361,5591.69299,,819.6933333,,,6.821689,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,32,3.55006793,4615.122956,,783.5849333,,,5.889755,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,32,9.594831145,3415.172138,,768.4855128,,,4.444029,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,128,64,2.084959237,7858.187206,,840.9496667,,,9.34442,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,256,64,5.391198078,6078.055291,,819.3792727,,,7.417878,
Habana Gaudi2,1,Deepspeed,meta-llama/Llama-2-7b-hf,512,64,15.78810437,4150.973318,,774.551375,,,5.359197,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,0.758929181,337.3173761,,750.58525,,,0.449406,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,1.504449512,340.3238167,,746.324,,,0.456,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,3.042885965,336.522634,,755.4190769,,,0.445478,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,6.232973089,328.5751391,,768.82824,,,0.427371,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,2048,1,12.97286028,315.736076,,774.2748077,,,0.407783,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,0.996163305,4111.775629,,843.293,,,4.875856,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,2.107412752,3887.230915,,841.7131111,,,4.618237,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,4.798254131,3414.575292,,828.17875,,,4.122993,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,12.10937615,2706.002323,,846.0350816,,,3.198452,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,2048,16,34.2240121,1914.912834,,860.8034818,,,2.224564,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,32,1.231921875,6649.772332,,902.5748,,,7.367558,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,32,2.745808696,5966.912416,,885.3015455,,,6.739977,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,32,6.784651211,4829.725063,,871.31675,,,5.543019,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,128,64,1.749989397,9362.342439,,922.6255714,,,10.147499,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,256,64,4.150557442,7894.843153,,880.8105294,,,8.963157,
Habana Gaudi2,2,Deepspeed,meta-llama/Llama-2-7b-hf,512,64,10.73457357,6105.133063,,899.6017209,,,6.786484,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,1,0.729324448,351.0097608,,788.9053333,,,0.444933,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,1,1.369144943,373.9560246,,788.1035,,,0.474501,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,1,2.496061712,410.2462672,,817.1407,,,0.502051,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,1024,1,4.644684764,440.9341223,,855.7472105,,,0.515262,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,2048,1,10.29412396,397.8968989,,851.6247619,,,0.467221,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,16,0.745424039,5494.859014,,857.5836667,,,6.407374,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,16,1.528663481,5358.929615,,985.5424286,,,5.437543,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,16,3.225616785,5079.338648,,1025.763231,,,4.951765,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,1024,16,7.468691415,4387.381695,,1063.004333,,,4.127341,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,2048,16,19.99303175,3277.942075,,1122.97165,,,2.918989,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,32,0.856839554,9560.716428,,1102.44275,,,8.672302,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,32,1.895593256,8643.204415,,1001.606375,,,8.629342,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,32,4.209317068,7784.635719,,1104.218882,,,7.049903,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,128,64,1.142552491,14339.82257,,1256.1346,,,11.415833,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,256,64,2.487406021,13173.56303,,1219.8431,,,10.799391,
Habana Gaudi2,4,Deepspeed,meta-llama/Llama-2-7b-hf,512,64,6.2081263,10556.48626,,1197.65096,,,8.814326,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,128,1,4.946936655,51.7491971,,872.8315,,,0.0593,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,256,1,10.97142718,46.66667256,,846.0822955,,,0.0552,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,512,1,20.15967907,50.7944594,,879.1656173,,,0.0578,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,1024,1,40.45919133,50.61890594,,879.1448519,,,0.0576,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-72B,2048,1,83.13042396,49.27197294,,873.1967628,,,0.0564,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-72B,128,1,3.992128569,64.12619122,,1003.829,,,0.0639,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-72B,256,1,6.942778811,73.74568799,,1112.78375,,,0.0663,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-72B,512,1,14.19641628,72.13088008,,1094.420404,,,0.0659,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-72B,1024,1,27.46489355,74.56792055,,1118.573909,,,0.0667,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-72B,2048,1,56.03159055,73.10161928,,1114.572134,,,0.0656,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,128,1,0.935657091,273.6045101,,719.60275,,,0.380216,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,256,1,1.872282962,273.4629382,,713.94525,,,0.383031,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,512,1,3.764138071,272.0410306,,713.931375,,,0.381046,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,1024,1,7.617257541,268.8631688,,719.2800323,,,0.373795,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,2048,1,15.94165047,256.9370096,,711.9460938,,,0.360894,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,128,16,1.11956327,3658.569471,,781.5806,,,4.680988,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,256,16,2.306635408,3551.493215,,769.4317,,,4.615736,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,512,16,4.882039904,3355.974208,,762.27115,,,4.402599,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,1024,16,10.85617151,3018.375305,,760.07625,,,3.971148,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,2048,16,30.87025994,2122.949406,,719.426,,,2.950893,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,128,32,1.319506746,6208.380537,,826.8928333,,,7.508084,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,256,32,2.750238566,5957.301378,,805.7543636,,,7.393446,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,512,32,6.045230941,5420.471165,,788.00776,,,6.878703,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,128,64,1.706489425,9600.997088,,866.0242857,,,11.086291,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,256,64,3.633012514,9019.512009,,856.8339333,,,10.526558,
Habana Gaudi2,1,Deepspeed,Qwen/Qwen2-7B,512,64,8.256656755,7937.353089,,831.4387647,,,9.546528,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,128,1,0.832244364,307.6019629,,780.325,,,0.394197,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,256,1,1.808541968,283.1009781,,715.073,,,0.395905,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,512,1,3.173272345,322.6952775,,773.3396154,,,0.417275,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,1024,1,6.164631573,332.217745,,776.49968,,,0.42784,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,2048,1,12.69564939,322.6302077,,777.3007647,,,0.415065,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,128,16,0.932260592,4393.621306,,890.8385,,,4.932007,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,256,16,1.962602887,4174.048685,,867.35225,,,4.812403,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,512,16,3.936709587,4161.851322,,838.44775,,,4.963758,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,1024,16,8.467233153,3869.977289,,849.4010588,,,4.556125,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,2048,16,21.39569394,3063.046246,,824.2048488,,,3.716365,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,128,32,1.140231791,7184.504119,,909.7302,,,7.897401,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,256,32,2.307845521,7099.261996,,904.0228,,,7.852968,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,512,32,4.827880491,6787.2434,,884.4029,,,7.674379,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,128,64,1.460713548,11216.43598,,1033.726333,,,10.850489,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,256,64,3.065257518,10690.12956,,953.1022308,,,11.216142,
Habana Gaudi2,2,Deepspeed,Qwen/Qwen2-7B,512,64,6.523996638,10045.37611,,960.2521111,,,10.461186,
Habana Gaudi2,4,Deepspeed,Qwen/Qwen2-7B,128,1,0.888837504,288.0166497,,724.312,,,0.397642,
