Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,5.850812768936157,2800.2947021288933
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,14.51084258556366,2258.173486948288
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,39.84955592155457,1644.5854535746953
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,32,1.4457384109497071,5666.308606007547
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,32,3.1910539865493774,5134.353749281665
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,32,7.769503951072693,4217.515069990523
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,21.103439688682556,3105.4653159288496
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,32,81.99455778598785,1598.5451173736199
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,64,1.793226671218872,9136.60289742604
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,64,4.195639300346374,7810.013600858113
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,64,11.156660962104798,5874.158964102471
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,42.26376416683197,3101.2855239918154
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,64,147.83400707244874,1773.2320539179566
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,1,0.7403770923614502,345.76974712100014
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,1,1.5033786058425904,340.56624060646527
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,1,3.0960479021072387,330.7442366453836
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,6.499768352508545,315.088152212315
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,1,14.280403017997742,286.8266389147259
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,0.9208605766296387,4448.013199773859
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,1.9230066061019897,4259.995766008057
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,4.168424439430237,3930.5018570132593
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,9.663064360618591,3391.056788728904
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,25.656141352653503,2554.3981497132613
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,32,0.9982745409011841,8206.159392389933
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,32,2.143556761741638,7643.371191480843
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,32,5.0154190301895145,6533.4521009627015
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,12.753532934188843,5138.654546797409
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,32,35.9053160905838,3650.4900742086415
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,64,1.2183598279953003,13447.58717706441
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,64,2.7546445608139036,11895.545605462134
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,64,6.7205458879470825,9751.588798394352
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,19.14927735328674,6844.74915589977
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,64,80.40339257717133,3260.3599375286767
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,128,1,1.076718306541443,237.75949423791704
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,256,1,2.1744121313095093,235.46594163437413
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,512,1,4.434425139427185,230.92057432550877
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,128,16,1.3069482326507569,3134.0185461611427
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,256,16,2.6876416921615602,3048.0253464930847
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,512,16,5.631867098808288,2909.1595580206213
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,128,32,1.4552581310272217,5629.241868050942
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,256,32,3.0259775161743163,5414.448690522317
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,512,32,6.549996995925904,5002.750386050816
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,128,64,1.7460634469985963,9383.393271397641
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,256,64,3.710058641433716,8832.205408844191
Nvidia A100 GPU,2,TensorRT-LLM,Qwen/Qwen2-7B,512,64,8.182560133934022,8009.229254327706
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,128,1,0.7429665327072144,344.56464555299635
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,256,1,1.5053999185562135,340.10895954547726
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,512,1,3.0930329084396364,331.06663598887616
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,128,16,0.9294462442398072,4406.925118461383
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,256,16,1.8919216632843017,4329.989004819053
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,512,16,3.944455122947693,4153.678895896838
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,128,32,1.010357403755188,8108.021943079601
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,256,32,2.0801291942596434,7876.433850942307
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,512,32,4.88149402141571,6712.698992612259
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,128,64,1.2004240989685058,13648.509734250052
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,256,64,2.825531029701233,11597.11206691821
Nvidia A100 GPU,4,TensorRT-LLM,Qwen/Qwen2-7B,512,64,5.6475543737411495,11604.315011948529
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,1,1.672361671924591,153.07693562803883
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,1,3.367583751678467,152.0377925997563
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,1,6.8111995458602905,150.34062548092083
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,13.996009051799774,146.3274275131055
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,1,29.26959979534149,139.94041697324175
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,16,1.9248948097229004,2127.908485861439
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,16,3.9925740361213684,2051.8091651866303
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,16,8.535608291625977,1919.488270809456
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,19.286153495311737,1699.0427877682068
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,16,47.42074120044708,1382.0112959217543
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,32,2.1499767303466797,3810.2737970931694
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,32,4.470934748649597,3664.558066956497
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,32,9.806951940059662,3341.303210240944
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,23.233641982078552,2820.7372761683982
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,32,61.859402537345886,2118.869478586848
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,64,2.570858895778656,6372.967426140146
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,64,5.566715180873871,5886.415765007046
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,64,12.786131143569946,5125.553559878634
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,64,32.429650008678436,4041.733412630851
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,64,158.58702480793,1652.9977803511435
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,1,1.0737022876739502,238.4273582527182
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,1,2.171929693222046,235.73507079801038
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,1,4.4427323818206785,230.4887875286231
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,9.19076943397522,222.83226825702152
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,1,19.556518340110777,209.4442338235139
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,16,1.2696180105209351,3226.1672141208646
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,16,2.614258909225464,3133.584042151003
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,16,5.52270736694336,2966.6608986142996
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,12.21534481048584,2682.527632938486
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,16,29.041312050819396,2256.647354131884
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,32,1.414866042137146,5789.947426843348
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,32,2.9809475183486938,5496.238997550676
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,32,6.543541049957275,5007.686167142476
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,15.275709629058838,4290.209855477449
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,32,39.51940789222717,3316.6488819226397
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,64,1.7330096006393432,9454.073418840613
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,64,3.713571238517761,8823.85119211529
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,64,8.386817860603333,7814.167553089731
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,64,20.41052453517914,6421.78498519659
Nvidia A100 GPU,2,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,64,56.77401163578033,4617.323885472814
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,1,0.7338385581970215,348.8505709334354
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,1,1.4853119611740113,344.70873014131524
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,1,3.0600759506225588,334.6322171486207
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,6.444977450370788,317.7668216484102
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,1,14.127896046638488,289.9228580447107
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,16,0.9849820852279663,4158.451266707062
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,16,2.006787896156311,4082.1454104295212
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,16,4.2136691331863405,3888.2977002066036
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,9.12388858795166,3591.451132280487
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,16,20.92482762336731,3131.9732319712975
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,32,1.0171454429626465,8053.912109303764
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,32,2.110030007362366,7764.81848259625
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,32,4.592779040336609,7134.678091894098
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,10.19384286403656,6428.9788330177425
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,32,24.944194960594178,5254.609347267458
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,64,1.1847197771072389,13829.430652373543
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,64,2.5161744594573974,13022.944365736183
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,64,5.629194259643555,11642.163509942504
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,64,13.474407601356507,9727.477739860311
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,64,35.83048858642578,7316.227334374449
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,1,1.7810991406440735,143.7314712910514
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,1,3.5878308415412903,142.7046097245908
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,1,7.270424067974091,140.84460416974528
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,14.86092209815979,137.81109856255833
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,1,31.0059597492218,132.1036353374871
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,2.0410414934158325,2006.8185841460008
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,4.2348281145095825,1934.4350652467226
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,9.010318458080292,1818.3597035138223
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,20.199362337589264,1622.2294274617566
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,49.25287228822708,1330.6026015393436
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,32,2.2514976859092712,3638.466986339205
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,32,4.732868075370789,3461.7487196104494
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,32,10.36736398935318,3160.687715185005
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,24.299935698509216,2696.9618690810194
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,32,63.92402684688568,2050.434030289594
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,64,2.7308430671691895,5999.612426276756
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,64,5.887991905212402,5565.225042342841
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,64,13.445159494876862,4874.319268951165
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,33.70355051755905,3888.9671262294287
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,64,161.99349409341812,1618.2378278033023
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,1,1.1323227167129517,226.08395665075844
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,1,2.2917508840560914,223.409971634364
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,1,4.6650467872619625,219.50476526753386
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,9.668155598640443,211.82944141776062
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,1,20.58527283668518,198.97720241533477
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,1.342610478401184,3050.7731511805455
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,2.762704372406006,2965.210495130062
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,5.822598004341126,2813.8641870492625
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,12.791254949569701,2561.7502058390537
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,30.147324562072754,2173.857911174262
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,32,1.5004681587219237,5459.6293512671555
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,32,3.141621398925781,5215.141457083977
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,32,6.868607807159424,4770.690206805025
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,15.95526614189148,4107.4839753334745
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,32,40.8567168712616,3208.089392326953
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,64,1.8566107273101806,8824.682395181893
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,64,3.9769100904464723,8239.562689314222
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,64,8.851548075675964,7403.902621293194
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,21.365115809440614,6134.860263293455
Nvidia A100 GPU,2,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,64,58.233250689506534,4501.620584392992
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,1,0.7806822299957276,327.9183131930658
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,1,1.577147078514099,324.636812238449
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,1,3.2513537645339965,314.9457346567041
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,6.796700859069825,301.3226626366903
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,1,14.865915417671204,275.52961825217034
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,1.0285735607147217,3982.213967422831
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,2.100892162322998,3899.2958072355045
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,4.383740997314453,3737.4470823064344
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,9.505168509483337,3447.3875941607203
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,21.727193093299867,3016.3123105031773
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,32,1.0624102830886841,7710.768740099043
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,32,2.2191495656967164,7383.008452094186
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,32,4.811525273323059,6810.314430161753
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,10.653644013404847,6151.510217305923
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,32,25.83556969165802,5073.3156483219145
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,64,1.2711575031280518,12889.040075429217
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,64,2.712442970275879,12080.62265606536
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,64,5.995825576782226,10930.271263022822
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,14.160681653022767,9256.051594947134
Nvidia A100 GPU,4,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,64,37.389847898483275,7011.101000243275
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,128,1,1.0944568634033203,233.90597524688462
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,256,1,2.197142481803894,233.0299487813092
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,512,1,4.4608759641647335,229.55132763744902
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,1024,1,9.22297556400299,222.05415007205326
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,2048,1,19.725194215774536,207.6532152329515
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,128,16,1.4118134737014771,2901.2331135083673
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,256,16,2.83434898853302,2890.258056838636
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,512,16,5.907789516448974,2773.287699973444
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,1024,16,12.664768052101135,2587.3351857054863
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,2048,16,28.051229643821717,2336.2968694113665
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,128,32,1.601908016204834,5113.901620523821
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,256,32,3.280768632888794,4993.95167210359
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,512,32,7.169499373435974,4570.472538349072
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,1024,32,15.19669575691223,4312.516421222086
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,2048,32,35.078810048103335,3736.500748465009
Nvidia A100 GPU,4,TensorRT-LLM,mistralai/Mixtral-8x7B-v0.1,128,64,1.9723223924636841,8306.958366747678
