Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,avg_power,Throughput_per_watt_avg,Perplexity
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,2048,1,12.43335644,329.4363851,735238.3968,0.448067438,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,128,16,0.924282687,4431.544654,752454,5.889455905,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,256,16,1.911382704,4285.902547,751384.8,5.704004855,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,512,16,4.02110735,4074.499528,747947.0488,5.447577519,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,1024,16,8.728667558,3754.066675,744889.2184,5.039765085,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,2048,16,18.24467736,3592.061329,762116.6703,4.713269593,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,128,32,1.072143513,7640.768144,757990.5455,10.08029479,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,256,32,2.220353374,7379.005609,754058.2917,9.785723054,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,512,32,4.714650493,6950.250087,750799.1633,9.257136165,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,1024,32,10.67630823,6138.451475,750366.8426,8.180600643,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,2048,32,23.96829545,5468.557423,768084.029,7.119738487,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,128,64,1.451461002,11287.93676,740176.1429,15.25033854,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,256,64,2.92645021,11197.1835,755685.0667,14.81726184,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,512,64,6.361162918,10302.51871,750205.0156,13.73293766,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,1024,64,14.29972998,9166.047202,762034.5486,12.02838798,3.466269943
Nvidia H100 GPU,2,vLLM,Deci/DeciLM-7B,2048,64,35.44607419,7395.572175,764007.8222,9.679969183,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,128,1,0.6124781,417.9741284,1020540.286,0.409561616,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,256,1,1.20383682,425.3068119,1042603.308,0.407927741,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,512,1,2.394450434,427.6555428,1050509.417,0.407093488,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,1024,1,4.80249483,426.4450192,1056080.49,0.403799732,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,2048,1,9.625781039,425.5239116,1064461.309,0.39975517,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,128,16,0.739240405,5540.822678,1055577.75,5.249090063,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,256,16,1.5324742,5345.603861,1038235.294,5.148740262,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,512,16,3.140626454,5216.793605,1080801.031,4.826784444,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,1024,16,6.513089104,5031.099602,1094201.582,4.597964109,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,2048,16,13.82455916,4740.548993,1112588.866,4.260827281,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,128,32,0.882120723,9286.710749,1100748,8.436727342,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,256,32,1.842205196,8893.688952,1097401.947,8.104313077,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,512,32,4.072980876,8045.213321,1091262.9,7.372387828,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,1024,32,8.884538746,7376.409949,1074623.256,6.864182318,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,2048,32,19.57963014,6694.304186,1095540.364,6.110504376,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,128,64,1.194622056,13714.79784,1060084.417,12.93745821,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,256,64,2.60423308,12582.59111,1040820.185,12.08911135,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,512,64,5.527170966,11857.0604,1060060.518,11.18526745,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,1024,64,12.95682192,10116.06093,1035721.038,9.767167563,3.466269943
Nvidia H100 GPU,4,vLLM,Deci/DeciLM-7B,2048,64,30.40617927,8621.405462,1051781.006,8.196958691,3.466269943
