Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,KV Cache Block_size,Latency,Throughput
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,128,19.57982941623777,1673.559013380634
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,8,30.602605057880282,2141.5170334698105
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,16,26.22699354030192,2498.799563102556
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,32,26.077006820589304,2513.1718701801137
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,64,25.92175380885601,2528.2239960789234
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,128,25.908147785812616,2529.551727965969
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,8,44.88313675392419,2920.2950034132855
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,16,35.96128025930375,3644.809057266242
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,32,35.615573917515576,3680.1877825570964
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,64,35.39454714395106,3703.1692895214865
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,128,35.31509536970407,3711.500666438618
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,8,14.42210394423455,142.00424625414786
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,16,14.224905307404697,143.97283888659172
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,1,32,14.732134027406573,139.0158408951515
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,16,8,20.867154153063893,1570.3147520568214
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,16,16,19.872619120404124,1648.9019289035537
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,16,32,19.976278366521,1640.3455838359325
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,32,8,29.716878558509052,2205.346024851409
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,32,16,27.352903434075415,2395.943090939196
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,32,32,31.50867538433522,2079.9351036058383
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,64,8,43.781486575491726,2993.776827883508
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,64,16,39.10564037691802,3351.741557910015
Nvidia A100 GPU,1,vLLM,mistralai/Mistral-7B-v0.1,1024,64,32,45.57801699638367,2875.772327049677
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,1,8,10.722455237992108,191.00103050497876
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,1,16,10.356212973594666,197.7556859077546
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,1,32,10.367651543579996,197.53750320323908
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,1,64,10.378672692924738,197.32773742794157
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,1,128,10.361898914910853,197.6471703514606
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,16,8,23.723289482295513,1381.2587004198754
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,16,16,23.969889169558883,1367.0484568453692
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,16,32,23.87044494319707,1372.7435780093692
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,16,64,23.93308106996119,1369.1509214468697
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,16,128,23.845554472878575,1374.1764754210108
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,32,8,29.383708734996617,2230.3515390467114
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,32,16,28.68344722595066,2284.8020840642853
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,32,32,28.448902206495404,2303.6389778526122
Nvidia A100 GPU,4,vLLM,mistralai/Mixtral-8x7B-v0.1,1024,32,64,28.33799762930721,2312.6545798078037
